"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","High","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","No","No","No","No","HVM, PV","$0.266000 hourly","$0.190000 hourly","$0.326 hourly","$0.250 hourly","$0.366 hourly","$0.223 hourly","$0.518000 hourly","$0.397000 hourly","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$1.95 hourly","$1.878 hourly","$0.025 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","120","No","No","No","No","HVM, PV","$0.532000 hourly","$0.380000 hourly","$0.662 hourly","$0.510 hourly","$0.632 hourly","$0.413 hourly","$1.036000 hourly","$0.793000 hourly","$1.468 hourly","$0.957 hourly","$2.532 hourly","$1.661 hourly","$3.9 hourly","$3.756 hourly","$0.05 hourly"
"C3 High-CPU Large","c3.large","3.75 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2","2.8","Yes","","","32 GiB               (2 * 16 GiB SSD)","No","No","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","Yes","No","Yes","Yes","HVM, PV","$0.105000 hourly","$0.073000 hourly","$0.165 hourly","$0.133 hourly","$0.205 hourly","$0.109 hourly","$0.188000 hourly","$0.165000 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable","unavailable","unavailable"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2","2.8","Yes","","","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","Yes","No","Yes","Yes","HVM, PV","$0.210000 hourly","$0.146000 hourly","$0.27 hourly","$0.206 hourly","$0.31 hourly","$0.182 hourly","$0.376000 hourly","$0.329000 hourly","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$1.894 hourly","$1.833 hourly","$0.02 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","28 units","8 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2","2.8","Yes","","","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM, PV","$0.420000 hourly","$0.292000 hourly","$0.55 hourly","$0.422 hourly","$0.52 hourly","$0.328 hourly","$0.752000 hourly","$0.657000 hourly","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$3.788 hourly","$3.664 hourly","$0.05 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","0","3.438 units","Intel Xeon E5-2680 v2","2.8","Yes","","","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","Yes","No","Yes","Yes","HVM, PV","$0.840000 hourly","$0.584000 hourly","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.620 hourly","$1.504000 hourly","$1.317000 hourly","$2.166 hourly","$1.540 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$0.10 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","0","0","3.375 units","Intel Xeon E5-2680 v2","2.8","Yes","","","640 GiB               (2 * 320 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","Yes","No","Yes","Yes","HVM, PV","$1.680000 hourly","$1.168000 hourly","$1.81 hourly","$1.298 hourly","$1.78 hourly","$1.204 hourly","$3.008000 hourly","$2.631000 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.170 hourly","$15.152 hourly","$14.657 hourly","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","174.5 units","64 vCPUs","0","0","2.727 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$6.669000 hourly","$4.110000 hourly","$6.799 hourly","$4.240 hourly","$6.769 hourly","$4.143 hourly","$9.613000 hourly","$7.054000 hourly","$10.94 hourly","$8.136 hourly","$17.293 hourly","$14.734 hourly","$33.613 hourly","$31.054 hourly","0"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","349 units","128 vCPUs","0","0","2.727 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$13.338000 hourly","$8.219000 hourly","$13.468 hourly","$8.349 hourly","$13.438 hourly","$8.252 hourly","$19.226000 hourly","$14.107000 hourly","$21.88 hourly","$16.271 hourly","$34.586 hourly","$29.467 hourly","$67.226 hourly","$62.107 hourly","0"
"X1E Extra Large","x1e.xlarge","122.0 GiB","12 units","4 vCPUs","0","0","3 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","","120 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","500.0 Mbps","62.5 MB/s","3700.0 IOPS","30","Yes","Yes","No","No","HVM","$0.834000 hourly","$0.514000 hourly","$0.894 hourly","$0.574 hourly","$0.934 hourly","$0.547 hourly","$1.018000 hourly","$0.698000 hourly","$1.086 hourly","$0.766 hourly","$1.498 hourly","$1.178 hourly","$2.518 hourly","$2.198 hourly","0"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","23 units","8 vCPUs","0","0","2.875 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","","240 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1000.0 Mbps","125.0 MB/s","7400.0 IOPS","60","Yes","Yes","No","No","HVM","$1.668000 hourly","$1.028000 hourly","$1.798 hourly","$1.158 hourly","$1.768 hourly","$1.061 hourly","$2.036000 hourly","$1.396000 hourly","$2.171 hourly","$1.531 hourly","$2.996 hourly","$2.356 hourly","$5.036 hourly","$4.396 hourly","0"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","47 units","16 vCPUs","0","0","2.938 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","","480 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","10000.0 IOPS","60","Yes","Yes","No","No","HVM","$3.336000 hourly","$2.056000 hourly","$3.466 hourly","$2.186 hourly","$3.436 hourly","$2.089 hourly","$4.072000 hourly","$2.792000 hourly","$4.342 hourly","$3.062 hourly","$5.992 hourly","$4.712 hourly","$10.072 hourly","$8.792 hourly","0"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","91 units","32 vCPUs","0","0","2.844 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","960 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","60","Yes","Yes","No","No","HVM","$6.672000 hourly","$4.112000 hourly","$6.802 hourly","$4.242 hourly","$6.772 hourly","$4.145 hourly","$8.144000 hourly","$5.584000 hourly","$8.685 hourly","$6.124 hourly","$11.984 hourly","$9.424 hourly","$20.144 hourly","$17.584 hourly","0"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","179 units","64 vCPUs","0","0","2.797 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","Yes","No","No","HVM","$13.344000 hourly","$8.223000 hourly","$13.474 hourly","$8.353 hourly","$13.444 hourly","$8.256 hourly","$16.288000 hourly","$11.167000 hourly","$17.37 hourly","$12.249 hourly","$23.968 hourly","$18.847 hourly","$40.288 hourly","$35.167 hourly","0"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","340 units","128 vCPUs","0","0","2.656 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","240","Yes","Yes","No","No","HVM","$26.688000 hourly","$16.446000 hourly","$26.818 hourly","$16.576 hourly","$26.788 hourly","$16.479 hourly","$32.576000 hourly","$22.334000 hourly","$34.74 hourly","$24.498 hourly","$47.936 hourly","$37.694 hourly","$80.576 hourly","$70.334 hourly","0"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","","","","","","800 GiB               SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","No","No","Yes","Yes","HVM","$0.853000 hourly","$0.424000 hourly","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.460 hourly","$0.973000 hourly","$0.565000 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.02 hourly"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","","","","","","1600 GiB               (2 * 800 GiB SSD)","Yes","Yes","64-bit","Moderate","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","Yes","Yes","HVM","$1.705000 hourly","$0.848000 hourly","$1.835 hourly","$0.978 hourly","$1.805 hourly","$0.884 hourly","$1.946000 hourly","$1.131000 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$0.05 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","","","","","","3200 GiB               (4 * 800 GiB SSD)","Yes","Yes","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","No","No","Yes","Yes","HVM","$3.410000 hourly","$1.696000 hourly","$3.54 hourly","$1.826 hourly","$3.51 hourly","$1.732 hourly","$3.891000 hourly","$2.260000 hourly","$3.971 hourly","$2.311 hourly","$4.918 hourly","$3.071 hourly","$10.146 hourly","$8.435 hourly","$0.10 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","","","","","","6400 GiB               (8 * 800 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","Yes","Yes","HVM","$6.820000 hourly","$3.392000 hourly","$6.95 hourly","$3.522 hourly","$6.92 hourly","$3.428 hourly","$7.782000 hourly","$4.521000 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","$20.292 hourly","$16.870 hourly","unavailable"
"R3 High-Memory Large","r3.large","15.25 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","32 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","Yes","No","Yes","Yes","HVM","$0.166000 hourly","$0.105000 hourly","$0.226 hourly","$0.165 hourly","$0.266 hourly","$0.138 hourly","$0.291000 hourly","$0.238000 hourly","$0.386 hourly","$0.272 hourly","$0.946 hourly","$0.833 hourly","unavailable","unavailable","unavailable"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","80 GiB               SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$0.333000 hourly","$0.209000 hourly","$0.393 hourly","$0.269 hourly","$0.433 hourly","$0.242 hourly","$0.583000 hourly","$0.428000 hourly","$0.738 hourly","$0.519 hourly","$1.378 hourly","$1.213 hourly","$2.017 hourly","$1.895 hourly","$0.02 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","160 GiB               SSD","Yes","Yes","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$0.665000 hourly","$0.418000 hourly","$0.795 hourly","$0.548 hourly","$0.765 hourly","$0.451 hourly","$1.045000 hourly","$0.824000 hourly","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$4.033 hourly","$3.789 hourly","$0.05 hourly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","320 GiB               SSD","Yes","Yes","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","Yes","No","Yes","Yes","HVM","$1.330000 hourly","$0.836000 hourly","$1.46 hourly","$0.966 hourly","$1.43 hourly","$0.869 hourly","$1.944000 hourly","$1.490000 hourly","$2.295 hourly","$1.617 hourly","$4.585 hourly","$4.041 hourly","$8.066 hourly","$7.579 hourly","$0.10 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","640 GiB               (2 * 320 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","Yes","No","Yes","Yes","HVM","$2.660000 hourly","$1.672000 hourly","$2.79 hourly","$1.802 hourly","$2.76 hourly","$1.705 hourly","$3.500000 hourly","$1.989000 hourly","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","$16.132 hourly","$15.158 hourly","unavailable"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","26 units","8 vCPUs","0","1","3.25 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","470 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$1.650000 hourly","$1.116000 hourly","$1.78 hourly","$1.246 hourly","$1.75 hourly","$1.149 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"F1 16xlarge","f1.16xlarge","976.0 GiB","188 units","64 vCPUs","0","8","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","3760 GiB               (4 * 940 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","400","Yes","Yes","Yes","Yes","HVM","$13.200000 hourly","$8.925000 hourly","$13.33 hourly","$9.055 hourly","$13.3 hourly","$8.958 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"I3 High I/O Large","i3.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","","","","","","475 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","30","Yes","Yes","Yes","Yes","HVM","$0.156000 hourly","$0.107000 hourly","$0.216 hourly","$0.167 hourly","$0.256 hourly","$0.140 hourly","$0.248000 hourly","$0.199000 hourly","$0.319 hourly","$0.270 hourly","$0.728 hourly","$0.679 hourly","unavailable","unavailable","0"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","","","","","","950 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.312000 hourly","$0.214000 hourly","$0.372 hourly","$0.274 hourly","$0.412 hourly","$0.247 hourly","$0.496000 hourly","$0.398000 hourly","$0.567 hourly","$0.469 hourly","$0.976 hourly","$0.878 hourly","$1.996 hourly","$1.898 hourly","0"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","","","","","","1900 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.624000 hourly","$0.428000 hourly","$0.754 hourly","$0.558 hourly","$0.724 hourly","$0.461 hourly","$0.992000 hourly","$0.796000 hourly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","$3.992 hourly","$3.796 hourly","0"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","","","","","","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$1.248000 hourly","$0.857000 hourly","$1.378 hourly","$0.987 hourly","$1.348 hourly","$0.890 hourly","$1.984000 hourly","$1.593000 hourly","$2.266 hourly","$1.875 hourly","$3.904 hourly","$3.513 hourly","$7.984 hourly","$7.593 hourly","0"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","","","","","","7600 GiB               (4 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","32500.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$2.496000 hourly","$1.714000 hourly","$2.626 hourly","$1.844 hourly","$2.596 hourly","$1.747 hourly","$3.968000 hourly","$3.186000 hourly","$4.532 hourly","$3.750 hourly","$7.808 hourly","$7.026 hourly","$15.968 hourly","$15.186 hourly","0"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","200 units","64 vCPUs","0","0","3.125 units","","","","","","15200 GiB               (8 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","65000.0 IOPS","750","Yes","Yes","Yes","Yes","HVM","$4.992000 hourly","$3.427000 hourly","$5.122 hourly","$3.557 hourly","$5.092 hourly","$3.460 hourly","$7.936000 hourly","$6.371000 hourly","$9.063 hourly","$7.498 hourly","$15.616 hourly","$14.051 hourly","$31.936 hourly","$30.371 hourly","0"
