"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","132 units","36 vCPUs","0","0","3.667 units","Intel Xeon E5-2666 v3","2.9","Yes","Yes","","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$1.591000 hourly","$1.008000 hourly","$1.721 hourly","$1.138 hourly","$1.691 hourly","$1.041 hourly","$3.091000 hourly","$2.664000 hourly","$3.881 hourly","$3.154 hourly","$12.485 hourly","$8.407 hourly","$16.747 hourly","$16.164 hourly","$0.00 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","30","Yes","Yes","Yes","Yes","HVM","$0.133000 hourly","$0.084000 hourly","$0.193 hourly","$0.144 hourly","$0.233 hourly","$0.117 hourly","$0.225000 hourly","$0.176000 hourly","$0.296 hourly","$0.247 hourly","$0.705 hourly","$0.656 hourly","unavailable","unavailable","0"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","13.5 units","4 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.266000 hourly","$0.168000 hourly","$0.396 hourly","$0.228 hourly","$0.366 hourly","$0.201 hourly","$0.450000 hourly","$0.352000 hourly","$0.521 hourly","$0.423 hourly","$0.93 hourly","$0.832 hourly","$1.95 hourly","$1.852 hourly","0"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.25 MB/s","12000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.532000 hourly","$0.336000 hourly","$0.662 hourly","$0.433 hourly","$0.632 hourly","$0.369 hourly","$0.900000 hourly","$0.704000 hourly","$0.787 hourly","$0.628 hourly","$1.843 hourly","$1.664 hourly","$3.9 hourly","$3.704 hourly","0"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$1.064000 hourly","$0.672000 hourly","$1.194 hourly","$0.802 hourly","$1.164 hourly","$0.705 hourly","$1.800000 hourly","$1.408000 hourly","$2.082 hourly","$1.690 hourly","$3.72 hourly","$3.328 hourly","$7.8 hourly","$7.408 hourly","0"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","37500.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$2.128000 hourly","$1.344000 hourly","$2.258 hourly","$1.474 hourly","$2.228 hourly","$1.377 hourly","$3.600000 hourly","$2.816000 hourly","$4.164 hourly","$3.380 hourly","$7.44 hourly","$6.656 hourly","$15.6 hourly","$14.816 hourly","0"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","195 units","64 vCPUs","0","0","3.047 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","750","Yes","Yes","Yes","Yes","HVM","$4.256000 hourly","$2.688000 hourly","$4.386 hourly","$2.818 hourly","$4.356 hourly","$2.721 hourly","$7.200000 hourly","$5.632000 hourly","$8.327 hourly","$6.759 hourly","$14.88 hourly","$13.312 hourly","$31.2 hourly","$29.632 hourly","0"
"P3 Double Extra Large","p3.2xlarge","61.0 GiB","23.5 units","8 vCPUs","1","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.0 MB/s","10000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$3.060000 hourly","$2.088000 hourly","$3.19 hourly","$2.218 hourly","$3.16 hourly","$2.121 hourly","$3.428000 hourly","$2.456000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"P3 Eight Extra Large","p3.8xlarge","244.0 GiB","94 units","32 vCPUs","4","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","No","Yes","Yes","HVM","$12.240000 hourly","$8.354000 hourly","$12.37 hourly","$8.484 hourly","$12.34 hourly","$8.387 hourly","$13.712000 hourly","$9.826000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"P3 16xlarge","p3.16xlarge","488.0 GiB","188 units","64 vCPUs","8","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","240","Yes","No","Yes","Yes","HVM","$24.480000 hourly","$16.708000 hourly","$24.61 hourly","$16.838 hourly","$24.58 hourly","$16.741 hourly","$27.424000 hourly","$19.652000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
